Model,Vol.,Size cm,Weight +/- 6%,Fins,Rec. Sails,Item N°
HARDCORE WAVE LTD V5,68,227x53.5,"6,4 Kgs","2 x RRD side Q4A 9cms +  2 x RRD Center Q4A 16,0 G-10 CNC",3.2-4.7,14HCW68LV5
HARDCORE WAVE LTD V5,78,227x55.5,"6,6 Kgs","2 x RRD side Q4A 9cms +  2 x RRD Center Q4A 15,5 G-10 CNC",3.7-5.3,14HCW78LV5
HARDCORE WAVE LTD V5,88,228x58.5,"6,7 Kgs","2 x RRD side Q4A 9cms +  2 x RRD Center Q4A 15,5 G-10 CNC",4.2-5.6,14HCW88LV5
HARDCORE WAVE LTD V5,98,228x61,"7,0 Kgs","2 x RRD side Q4A 9cms +  2 x RRD Center Q4A 15,5 G-10 CNC",4.5-5.8,14HCW98LV5
WAVE CULT LTD V5,75,229x57,"6,4 Kgs",MFC TQ 16 - PRO Flex + SIDE 8,3.7-5.2,RD13WC75V5
WAVE CULT LTD V5,83,230x59,"6,7 Kgs",MFC TQ 16 - PRO Flex + SIDE 8,4.0-5.7,RD13WC83V5
WAVE CULT LTD V5,92,231x61,"6,9 Kgs",MFC TQ 17 - PRO Flex + SIDE 8,4.5-6.2,RD13WC92V5
WAVE CULT LTD V5,100,233x62,"7,1 Kgs",MFC TQ 17 - PRO Flex + SIDE 8,4.9-6.6,RD13WC100V5
FIREWAVE LTD,74,233x58,"6,2 Kgs",MFC TF SIDE 10 L&R (SB) WL-RED’14-MFC TF CENTER 15 G-10 CNC (US),3.3-5.0,14FRW74L
FIREWAVE LTD,82,233x60,"6,5 Kgs",MFC TF SIDE 10 L&R (SB) WL-RED’14-MFC TF CENTER 16 G-10 CNC (US),3.2-4.7,14FRW82L
FIREWAVE LTD,92,234x62,"6,7 Kgs",MFC TF SIDE 10 L&R (SB) WL-RED’14-MFC TF CENTER 17 G-10 CNC (US),3.7-5.3,14FRW92L
FIREWAVE LTD,102,235x64,"6,8 Kgs",MFC TF SIDE 11 L&R (SB) WL-RED’14-MFC TF CENTER 18 G-10 CNC (US),4.2-5.6,14FRW102L
