MODEL,VOLUME,WIDTH,LENGTH,TECHNOLOGY,FINBOXES,FINS,REC. SAIL SIZES
Grip XS,60 l,52 cm,218 cm,Biax Fibre / Full PVC Sandw. LF,4 × Slot Box,"CF 2 × 9 cm, 2 × 14 cm",Up to 4.7 m2
"",68 l,54 cm,220 cm,,4 × Slot Box,"CF 2 × 9 cm, 2 × 14 cm",Up to 5.0 m2
"",75 l,56 cm,222 cm,,,,Up to 5.3 m2
"",82 l,58 cm,224 cm,,,"CF 2 × 9.5 cm, 2 × 14.5 cm",Up to 5.8 m2
Grip TE,,,,Biax Innegra Carbon LF,5 × Slot Box,,
"",86 l,58.5 cm,225 cm,,,,Up to 6.0 m2
"",92 l,59.5 cm,226 cm,,,"CF 2 × 10 cm, 2 × 14.5 cm",Up to 6.2 m2
"",102 l,61 cm,228 cm,,,"MFC TF Black 2 × 12 cm, 19 cm",Up to 6.5 m2
"",76 l,55 cm,212 cm,,,,Up to 5.3 m2
"",,,,,,"CF 2 × 12 cm, 17 cm",
"",82 l,56 cm,214 cm,,,,Up to 5.8 m2
Stubby TE,,,,Biax Innegra Carbon LF,"2 × Slot Box, Center US Box",,
"",89 l,57.5 cm,215 cm,,,,Up to 6.2 m2
"",,,,,,"CF 2 × 12 cm, 18 cm",
"",99 l,60 cm,218 cm,,,,Up to 6.5 m2
"",85 l,58.5 cm,229 cm,,,"MFC TF Black 2 × 12 cm, 19 cm",Up to 6.0 m2
"",95 l,61 cm,230 cm,TeXtreme® / Biax Innegra,,"MFC TF Black 2 × 12 cm, 20 cm",Up to 6.2 m2
FreeWave TXTR,,,,,"Power Box, 2 × Slot Box",,
"",105 l,63 cm,231 cm,Carbon LF,,"MFC TF Black 2 × 12 cm, 21 cm",Up to 6.8 m2
"",115 l,65 cm,232 cm,,,MFC 30 cm G10,Up to 7.5 m2
"",75 l,56 cm,228 cm,,,"MFC TF Black 2 × 12 cm, 18 cm",Up to 5.8 m2
"",85 l,58.5 cm,229 cm,,,"MFC TF Black 2 × 12 cm, 19 cm",Up to 6.0 m2
Freewave TE,95 l,61 cm,230 cm,Biax Innegra Carbon LF,"Power Box, 2 × Slot Box","MFC TF Black 2 × 12 cm, 20 cm",Up to 6.2 m2
"",105 l,63 cm,231 cm,,,"MFC TF Black 2 × 12 cm, 21 cm",Up to 6.8 m2
"",115 l,65 cm,232 cm,,,MFC 30 cm G10,Up to 7.5 m2
"",75 l,56 cm,228 cm,,,CF G10 24 cm,Up to 5.8 m2
"",85 l,58.5 cm,229 cm,Biax Fibre /,,CF G10 26 cm,Up to 6.0 m2
Freewave,,,,,"Power Box, 2 × Slot Box",,
"",95 l,61 cm,230 cm,Full PVC Sandwich LF,,CF G10 28 cm,Up to 6.2 m2
"",105 l,63 cm,231 cm,,,CF G10 30 cm,Up to 6.8 m2
"",85 l,60 cm,225 cm,,,CF Composite Innegra Carbon 17.5 cm,Up to 5.3 m2
"",92 l,62 cm,220 cm,,,CF Composite Innegra Carbon 18.5 cm,Up to 5.9 m2
Skate TE,,,,Biax Innegra Carbon LF,Power Box,,
"",99 l,65 cm,225 cm,,,CF Composite Innegra Carbon 20 cm,Up to 6.2 m2
"",108 l,66.5 cm,226 cm,,,CF Composite Innegra Carbon 22 cm,Up to 6.7 m2
"",100 l,62 cm,231 cm,,,CF Composite Black 34 cm,Up to 7.8 m2
"",115 l,66 cm,232 cm,Biax Fibre /,,CF Composite Black 38 cm,Up to 8.4 m2
Blast LTD,,,,,Foil Tuttle Box,,
"",130 l,70 cm,233 cm,Full PVC Sandwich LF,,CF Composite Black 42 cm,Up to 9.0 m2
"",145 l,77 cm,235 cm,,,CF Composite Black 44 cm,Up to 10.0 m2
"",100 l,62 cm,231 cm,,,CF Composite White 34 cm,Up to 7.8 m2
"",115 l,66 cm,232 cm,,,CF Composite White 38 cm,Up to 8.4 m2
Blast HRS,,,,High Resistance Skin,Foil Tuttle Box,,
"",130 l,70 cm,233 cm,,,CF Composite White 42 cm,Up to 9.0 m2
"",145 l,77 cm,235 cm,,,CF Composite White 44 cm,Up to 10.0 m2
"",100 l,66 cm,239 cm,,,CF Composite Black 36 cm,Up to 8.0 m2
"",110 l,72 cm,239 cm,,,CF Composite Black 38 cm,Up to 8.5 m2
"",,,,Biax Fibre /,,,
Gecko LTD,122 l,77 cm,242 cm,,Power Box,CF Composite Black 40 cm,Up to 9.0 m2
"",,,,Full PVC Sandwich LF,,,
"",135 l,79 cm,246 cm,,,CF Composite Black 42 cm,Up to 9.5 m2
"",148 l,83 cm,250 cm,,,CF Composite Black 46 cm,Up to 10 m2
"",110 l,72 cm,239 cm,,,CF Composite Black 38 cm,Up to 8.5 m2
"",,,,Cork Flax /,,,
Gecko Eco,122 l,77 cm,242 cm,,Power Box,CF Composite Black 40 cm,Up to 9.0 m2
"",,,,Wood Composite LF,,,
"",135 l,79 cm,246 cm,,,CF Composite Black 42 cm,Up to 9.5 m2
"",100 l,66 cm,239 cm,,,CF Composite White 36 cm,Up to 8.0 m2
"",110 l,72 cm,239 cm,,,CF Composite White 38 cm,Up to 8.5 m2
"",122 l,77 cm,242 cm,,,CF Composite White 40 cm,Up to 9.0 m2
"",,,,High Resistance Skin,,,
Gecko HRS,135 l,79 cm,246 cm,,Power Box,CF Composite White 42 cm,Up to 9.5 m2
"",148 l,83 cm,250 cm,,,CF Composite White 46 cm,Up to 10 m2
"",156 l,85 cm,252 cm,,,CF Composite White 48 cm,Up to 11 m2
"",156 l,85 cm,252 cm,HRS Soft Top with Noseshield,,"Fanatic Viper 34 cm, Daggerboard",Up to 11 m2
Gecko LTD Foil,135 l,79 cm,246 cm,Biax Fibre / Full PVC Sandw. LF,Foil Tuttle Box,CF Composite Black 44 cm,Up to 9.5 m2
Gecko HRS Foil,135 l,79 cm,246 cm,High Resistance Skin,Foil Tuttle Box,CF Composite White 44 cm,Up to 9.5 m2
"",94 l,61 cm,235 cm,,Short Tuttle,CF Carbon Black 34 cm,Up to 8.2 m2
"",108 l,69 cm,235 cm,Biax Fibre /,,CF Carbon Black 38 cm,Up to 8.5 m2
Jag LTD,,,,,,,
"",125 l,75 cm,235 cm,Full PVC Sandwich LF,Foil Tuttle Box,CF Carbon Black 42 cm,Up to 9.2 m2
"",135 l,82 cm,235 cm,,,CF Carbon Black 46 cm,Up to 10 m2
"",80 l,56 cm,233 cm,,,,Up to 7.5 m2
"",90 l,60 cm,233 cm,Biax Carbon Sandwich LF,Short Tuttle Box,,Up to 7.8 m2
"",97 l,62 cm,233 cm,,,,Up to 8.2 m2
"",106 l,68 cm,235 cm,,,,Up to 8.4 m2
Falcon Slalom TE,,,,,,No Fin,
"",115 l,71.5 cm,230 cm,,Medium Tuttle Box,,Up to 8.6 m2
"",121 l,75 cm,230 cm,Full Biax Carbon Sandwich LF,,,Up to 9.2 m2
"",130 l,80 cm,228 cm,,,,Up to 9.5 m2
"",,,,,Foil Tuttle Box,,
"",140 l,85 cm,228 cm,,,,Up to 10 m2
Falcon Lightwind,159 l,90 cm,230 cm,Biax Fibre / Full PVC Sandw. LF,Foil Tuttle Box,CF Carbon Black 50 cm,Up to 11 m2
"",54 l,44 cm,230 cm,,,,Up to 6.5 m2
Falcon Speed TE,,,,Biax Carbon Sandwich LF,Short Tuttle Box,No Fin,
"",70 l,52.5 cm,230 cm,,,,Up to 7.0 m2
"",110 l,65 cm,215 cm,,,,Up to 8.0 m2
"",,,,Biax Fibre /,,,
Stingray LTD,125 l,75 cm,228 cm,,"Foil Tuttle Box, 2 × US Box",No Fin,Up to 9.0 m2
"",,,,Full PVC Sandwich LF,,,
"",140 l,85 cm,228 cm,,,,Up to 10.0 m2
"",125 l,75 cm,228 cm,,,,Up to 9.0 m2
Stingray HRS,,,,High Resistance Skin,"Foil Tuttle Box, 2 × US Box",No Fin,
"",140 l,85 cm,228 cm,,,,Up to 10.0 m2
Falcon Foil,180 l,91 cm,230 cm,Biax Carbon Sandwich LF,Foil Tuttle Box,No Fin,Up to 11 m2
"",160 l,75 cm,275 cm,,,,Up to 10 m2
"",190 l,80 cm,280 cm,,,,Up to 10 m2
Viper,,,,High Resistance Skin – Soft Top,Power Box,"Fanatic Viper 34 cm, Daggerboard",
"",220 l,85 cm,285 cm,,,,Up to 10 m2
"",240 l,91 cm,290 cm,,,,Up to 10 m2
Ripper,112 l,73 cm,239 cm,High Resistance Skin – Soft Top,Power Box,"Fanatic Ripper 30 cm, 39 cm",Up to 8.0 m2
Viper Air Premium,355 l,85.1 cm,335.3 cm,Double Layer Heavy Duty,2 × US Box 10 cm,"1 × 19.5 cm, 1 × 24 cm",—
Viper Air Pure,355 l,85.1 cm,335.3 cm,Drop Stitch Light,2 × US Box 10 cm,"1 × 19.5 cm, 1 × 24 cm",—
Ripper Air WS,187 l,73.7 cm,274.3 cm,Drop Stitch Light,2 × US Box 10 cm,"1 × 19.5 cm, 1 × 24 cm",—
Tandem Air Premium,505 l,86.4 cm,487.6 cm,Double Layer Heavy Duty,2 × US Box 10 cm,"1 × 19.5 cm, 1 × 24 cm",—
