PRODUCT GROUP,MODEl,lENGTH IN CM,WIDTH IN CM,VOlUME IN lTR,WEIGHT IN KG,BOARD TECHNOlOGY,FIN TECHNOlOGY
"",,,,,,,
RADICAL WAVE,NW 69,237,"52,5",69,TBA*,TECHNORA KEVLAR DOUBLE SANDWICH / LF,"FANATIC NEWWAVE 21,5 G10"
"",NW 75,238,"54,5",75,TBA*,TECHNORA KEVLAR DOUBLE SANDWICH / LF,"FANATIC NEWWAVE 22,5 G10"
"",NW 81,240,"56,5",81,TBA*,TECHNORA KEVLAR DOUBLE SANDWICH / LF,"FANATIC NEWWAVE 23,5 G10"
RADICAL WAVE,NW TE 69,237,"52,5",69,TBA*,TECHNORA KEVLAR DOUBLE SANDWICH / ULF,"FANATIC NEWWAVE 21,5 G10"
"",NW TE 75,238,"54,5",75,TBA*,TECHNORA KEVLAR DOUBLE SANDWICH / ULF,"FANATIC NEWWAVE 22,5 G10"
"",NW TE 81,240,"56,5",81,TBA*,TECHNORA KEVLAR DOUBLE SANDWICH / ULF,"FANATIC NEWWAVE 23,5 G10"
ALLROUND WAVE,AW 72,232,54,72,TBA*,GLASS DOUBLE SANDWICH,FANATIC ALLWAVE 22 G10
"",AW 82,233,57,82,TBA*,GLASS DOUBLE SANDWICH,"FANATIC ALLWAVE 23,5 G10"
"",AW 92,235,60,92,TBA*,GLASS DOUBLE SANDWICH,FANATIC ALLWAVE 25 G10
WAVE / FREESTYLE,FW 77,237,56,77,TBA*,TECHNORA KEVLAR DOUBLE SANDWICH / LF,FANATIC FREEWAVE 23 G10
"",FW 86,239,"58,5",86,TBA*,TECHNORA KEVLAR DOUBLE SANDWICH / LF,FANATIC FREEWAVE 25 G10
"",FW 95,241,61,95,TBA*,TECHNORA KEVLAR DOUBLE SANDWICH / LF,FANATIC FREEWAVE 27 G10
"",FW 104,241,"63,5",104,TBA*,TECHNORA KEVLAR DOUBLE SANDWICH / LF,FANATIC FREEWAVE 29 G10
FREESTYLE,SKATE 97,237,63,97,TBA*,TECHNORA KEVLAR SANDWICH / LF,FANATIC SKATE 25 G10
"",SKATE 107,239,65,107,TBA*,TECHNORA KEVLAR SANDWICH / LF,FANATIC SKATE 27 G10
FREESTYLE,SKATE TE 97,237,63,97,TBA*,TECHNORA KEVLAR SANDWICH / ULF,FANATIC SKATE 25 G10
"",SKATE TE 107,239,65,107,TBA*,TECHNORA KEVLAR SANDWICH / ULF,FANATIC SKATE 27 G10
FREECARVE,HAWK 93,245,58,93,TBA*,HYBRID SANDWICH,FANATIC HAWK 28 G10
"",HAWK 108,247,62,108,TBA*,HYBRID SANDWICH,FANATIC HAWK 34 G10
"",HAWK 123,249,66,123,TBA*,HYBRID SANDWICH,FANATIC HAWK 38 G10
FREEMOVE,EAGLE 100,245,63,100,TBA*,HYBRID SANDWICH,FANATIC EAGLE 36 G10
"",EAGLE 113,246,66,113,TBA*,HYBRID SANDWICH,FANATIC EAGLE 39 G10
"",EAGLE 126,249,69,126,TBA*,HYBRID SANDWICH,FANATIC EAGLE 42 G10
FREERIDE,SHARK 130 LTD,258,70,130,TBA*,HYBRID SANDWICH,FANATIC FREERIDE 46 G10
"",SHARK 145 LTD,263,75,145,TBA*,HYBRID SANDWICH,FANATIC FREERIDE 50 G10
"",SHARK 130,258,70,130,TBA*,HIGH RESISTANCE SKIN,FANATIC FREERIDE 46
"",SHARK 145,263,75,145,TBA*,HIGH RESISTANCE SKIN,FANATIC FREERIDE 50
"",SHARK 160,268,80,160,TBA*,HIGH RESISTANCE SKIN,FANATIC FREERIDE 52
SPEED,FALCON SPEED,242,48,68,TBA*,CARBON SANDWICH,FANATIC SPEED 28 G10
SLALOM,FALCON SL 79,TBA,TBA,79,TBA*,CARBON SANDWICH,TBA
"",FALCON SL 89,TBA,TBA,89,TBA*,CARBON SANDWICH,TBA
"",FALCON SL 104,TBA,TBA,104,TBA*,CARBON SANDWICH,TBA
"",FALCON SL 124,TBA,TBA,124,TBA*,CARBON SANDWICH,TBA
"",FALCON SL 145,245,85,145,TBA*,CARBON SANDWICH,Fanatic Slalom 54 G10
ENTRY,VIPER 75,275,75,160,TBA*,HIGH RESISTANCE SKIN – SOFTDECK,"FANATIC VIPER 34, DAGGERBOARD"
"",VIPER 80,280,80,190,TBA*,HIGH RESISTANCE SKIN – SOFTDECK,"FANATIC VIPER 34, DAGGERBOARD"
"",VIPER 85,285,85,220,TBA*,HIGH RESISTANCE SKIN – SOFTDECK,"FANATIC VIPER 34, DAGGERBOARD"
ENTRY / KIDS,RIPPER 102,239,"69,5",102,TBA*,HIGH RESISTANCE SKIN – SOFTDECK,FANATIC RIPPER 30 & 39
