MODELS,VOLUME,WIDTH,LENGTH,TECHNOLOGY,FIN BOXES,FINS,REC. SAIL SIZES
Stubby TE 76,76 l,55 cm,212 cm,BXIC,"2 × Slot Box,Center US Box","CF 2 × 12cm, 17cm",Up to 5.3 m2
Stubby TE 82,82 l,56 cm,214 cm,"CF 2 × 12cm, 17cm",Up to 5.8 m2,,
Stubby TE 89,89 l,57.5 cm,215 cm,"CF 2 × 12cm, 18cm",Up to 6.2 m2,,
Stubby TE 99,99 l,60 cm,218 cm,"CF 2 × 12cm, 18cm",Up to 6.5 m2,,
Grip TE 68,68 l,54 cm,220 cm,BXIC,4 × Slot Box,"CF 2 × 9 cm, 2 × 14cm",Up to 5.0 m2
Grip TE 76,76 l,56 cm,222 cm,5 × Slot Box,"CF 2 × 9.5 cm, 2 × 14.5 cm",Up to 5.3 m2,
Grip TE 82,82 l,58 cm,224 cm,"CF 2 × 9.5 cm, 2 × 14.5 cm",Up to 5.8 m2,,
Grip TE 89,89 l,59.5 cm,226 cm,"CF 2 × 10 cm, 2 × 14.5 cm",Up to 6.2 m2,,
Grip TE 99,99 l,62 cm,229 cm,"2 × Slot Box, C. US Box","MFC TF Black 2 × 12cm, 19 cm",Up to 6.5 m2,
FreeWave STB TXTR 85,85 l,57.5 cm,225 cm,TXTR / BXIC,"2 × Slot Box,Power Box","MFC TF Black 2 × 12 cm, 18 cm",Up to 6.0 m2
FreeWave STB TXTR 95,95 l,60 cm,227 cm,"MFC TF Black 2 × 12 cm, 19 cm",Up to 6.2 m2,,
FreeWave STB TXTR 105,105 l,62.5 cm,229 cm,"MFC TF Black 2 × 12 cm, 20 cm",Up to 6.8 m2,,
FreeWave STB TXTR 115,115 l,65 cm,231 cm,MFC 30 cm,Up to 7.5 m2,,
FreeWave STB TE 85,85 l,57.5 cm,225 cm,BXIC,"2 × Slot Box,Power Box","MFC TF Black 2 × 12 cm, 18 cm",Up to 6.0 m2
FreeWave STB TE 95,95 l,60 cm,227 cm,"MFC TF Black 2 × 12 cm, 19 cm",Up to 6.2 m2,,
FreeWave STB TE 105,105 l,62.5 cm,229 cm,"MFC TF Black 2 × 12 cm, 20 cm",Up to 6.8 m2,,
FreeWave STB TE 115,115 l,65 cm,231 cm,MFC 30 cm,Up to 7.5 m2,,
FreeWave STB 85,85 l,57.5 cm,225 cm,BXF,"2 × Slot Box,Power Box",CF 26 cm,Up to 6.0 m2
FreeWave STB 95,95 l,60 cm,227 cm,CF 28 cm,Up to 6.2 m2,,
