Model,Vol. In Litres,Length In Cm,Width In Cm,Weight In Kg,Board TEchnology,Fin TEchnology,SysTEm,Footstraps,Rec.  Sailsize
"",,,,,,,,,
Newwave TE 69,69,232,53,Tba*,Carbon Kevlar Light TE,Fanatic Newwave 20.5 Prepreg,Us Box,3,3.3 – 5.4 M2
Newwave TE 76,76,234,55,Tba*,Carbon Kevlar Light TE,Fanatic Newwave 21.5 Prepreg,Us Box,3,3.5 – 5.8 M2
Newwave TE 83,83,236,57,Tba*,Carbon Kevlar Light TE,Fanatic Newwave 22 Prepreg,Us Box,3,3.7 – 6.0 M2
Newwave TE 91,91,243,59.5,Tba*,Carbon Kevlar Light TE,Fanatic Newwave 23 Prepreg,Us Box,3,4.2 – 6.4 M2
Newwave Twin TE 72,72,230,53.5,Tba*,Carbon Kevlar Light TE,2 X Fanatic Newwave 15.5 G10,Us Box,3,3.7 – 5.3 M2
Newwave Twin TE 79,79,232,55.5,Tba*,Carbon Kevlar Light TE,2 X Fanatic Newwave 16 G10,Us Box,3,4.0 – 5.8 M2
Newwave Twin TE 86,86,234,57.5,Tba*,Carbon Kevlar Light TE,2 X Fanatic Newwave 16.5 G10,Us Box,3,4.2 – 6.2 M2
Newwave Twin TE 93,93,236,59.5,Tba*,Carbon Kevlar Light TE,2 X Fanatic Newwave 17 G10,Us Box,3,4.5 – 6.6 M2
Freewave 75,75,235,56,Tba*,Custom Wood Sandwich Light,Fanatic Freewave 23 G10,Us Box,3,3.7 – 6.0 M2
Freewave 85,85,238,58.5,Tba*,Custom Wood Sandwich Light,Fanatic Freewave 25 G10,Power Box,4,4.2 – 6.5 M2
Freewave 95,95,240,61,Tba*,Custom Wood Sandwich Light,Fanatic Freewave 27 G10,Power Box,4,4.5 – 6.7 M2
Freewave 105,105,242,63.5,Tba*,Custom Wood Sandwich Light,Fanatic Freewave 29 G10,Power Box,4,4.7 –7.0 M2
Freewave 115,115,244,66,Tba*,Custom Wood Sandwich Light,Fanatic Freewave 29 G10,Power Box,4,5.0 – 7.3 M2
Freewave TE 75,75,235,56,Tba*,Carbon Kevlar Light TE,Fanatic Freewave 23 G10,Us Box,3,3.7 – 6.0 M2
Freewave TE 85,85,238,58.5,Tba*,Carbon Kevlar Light TE,Fanatic Freewave 25 G10,Power Box,4,4.2 – 6.5 M2
Freewave TE 95,95,240,61,Tba*,Carbon Kevlar Light TE,Fanatic Freewave 27 G10,Power Box,4,4.5 – 6.7 M2
Freewave TE 105,105,242,63.5,Tba*,Carbon Kevlar Light TE,Fanatic Freewave 29 G10,Power Box,4,4.7 – 7.0 M2
Freewave TE 115,115,244,66,Tba*,Carbon Kevlar Light TE,Fanatic Freewave 29 G10,Power Box,4,5.0 – 7.3 M2
